text,pmid,title
"ABSTRACT: Acetylcholinesterase (AChE) is one of the most important therapeutic targets in the treatment of neurological disorders such as Alzheimer's disease. In recent years, studies on the use of carbonic anhydrase (CA) inhibitors in the treatment of Alzheimer's disease have attracted considerable attention. In this study, novel benzene/5-HMF-chalcone hybrids and their benzoate esters were synthesized. Furthermore, the AChE, carbonic anhydrases I and II (CA I and II) inhibition potentials of t",41645578,Acetylcholinesterase and Carbonic Anhydrase Inhibition Profiles of New 5-HMF Chalcones and Their Ester Derivatives.
"esized. Furthermore, the AChE, carbonic anhydrases I and II (CA I and II) inhibition potentials of the compounds were evaluated through in vitro enzyme inhibition assays and molecular docking studies to identify new potential drug candidate molecules. According to the inhibition results, the Ki values of the synthesized compounds were found to be in the range of 1.51-2.91 nM against AChE, 26.15-68.66 nM against CA I, and 27.91-107.04 nM against CA II. Molecular docking studies revealed that the",41645578,Acetylcholinesterase and Carbonic Anhydrase Inhibition Profiles of New 5-HMF Chalcones and Their Ester Derivatives.
".66 nM against CA I, and 27.91-107.04 nM against CA II. Molecular docking studies revealed that the compounds bind to both the catalytic active site (CAS) and the peripheral anionic site (PAS) of AChE, with Glide scores ranging from -5.76 to -8.50 kcal/mol. In contrast, the molecules interacted with the active site of CA I/II by coordinating with the catalytic Zn2+ ion. All compounds complied with Lipinski's Rule of Five, indicating favorable drug-like properties. These results suggest that 5-HM",41645578,Acetylcholinesterase and Carbonic Anhydrase Inhibition Profiles of New 5-HMF Chalcones and Their Ester Derivatives.
"Lipinski's Rule of Five, indicating favorable drug-like properties. These results suggest that 5-HMF-chalcone hybrids and their benzoate derivatives could serve as promising scaffolds for the development of new anti-Alzheimer's agents. These findings suggest that 5-HMF-chalcone hybrids and their benzoate derivatives may be useful in establishing the structural basis of new anti-Alzheimer's agents.",41645578,Acetylcholinesterase and Carbonic Anhydrase Inhibition Profiles of New 5-HMF Chalcones and Their Ester Derivatives.
.,41645578,Acetylcholinesterase and Carbonic Anhydrase Inhibition Profiles of New 5-HMF Chalcones and Their Ester Derivatives.
"ABSTRACT: Defective Wnt/β-catenin signaling is closely associated with the pathogenesis of Alzheimer's disease (AD), thus validating this pathway as a therapeutic target for AD. ISX9 is a potent agonist of the Wnt/β-catenin pathway. However, it remains unknown whether ISX9 exerts anti-AD effects by enhancing the Wnt/β-catenin signaling pathway. We therefore explored the neuroprotective potential of ISX9 using both hippocampal neuron-derived HT22 cells and 5×FAD transgenic mouse model of AD.",41645328,ISX9 activates the Wnt/β-catenin signaling pathway and exerts neuroprotective effects in Alzheimer's disease.
f ISX9 using both hippocampal neuron-derived HT22 cells and 5×FAD transgenic mouse model of AD.,41645328,ISX9 activates the Wnt/β-catenin signaling pathway and exerts neuroprotective effects in Alzheimer's disease.
"ABSTRACT: The mammalian target of rapamycin (mTOR) plays a pivotal role in regulating neuronal survival and synaptic plasticity, both of which are crucial for the progression of Alzheimer's disease (AD). This study aims to delineate the research trends concerning mTOR and AD through bibliometric analysis.",41644863,Trends and Research Frontiers in Mammalian Target of Rapamycin and Alzheimer's Disease.
"ABSTRACT: Tauopathy, including Alzheimer's Disease, is the most prevalent neurodegenerative disorder, yet current therapies fail to halt disease progression, partly due to limited understanding of early Tau pathological structures. Cryo-electron microscopy has clarified distinct Tau structures tied to disease phenotypes, but only in their mature forms and at low throughput. Hence, molecular probes that can recognize early Tau conformations in high throughput and in situ hold the potential to tra",41643771,Conformation-specific monoclonal antibodies reveal early Tau structural intermediates in Alzheimer's disease.
"that can recognize early Tau conformations in high throughput and in situ hold the potential to transform our understanding of Tau aggregation. Tau undergoes sequential changes, including hyperphosphorylation and misfolding, with the aggregation-prone PHF6 region in R3 shown to drive its self-assembly and fibrillar core formation. In this study, we used existing and novel monoclonal antibodies (mAbs) to map the Tau protein in AD and other Tauopathies. The conformation-specific antibody 16B12, t",41643771,Conformation-specific monoclonal antibodies reveal early Tau structural intermediates in Alzheimer's disease.
"Abs) to map the Tau protein in AD and other Tauopathies. The conformation-specific antibody 16B12, targeting the R1-R3 regions, showed high sensitivity in detecting early Tau structures and inhibited seed-induced aggregation in vitro. Another antibody, 9H6F2, detected P1-P2 interactions and functioned as a pan-biomarker across Tauopathies. Our findings underscore the critical role of early P1-P2 and R1-R3 interactions in Tau fibril maturation, and our mAbs show promise as early diagnostic marker",41643771,Conformation-specific monoclonal antibodies reveal early Tau structural intermediates in Alzheimer's disease.
"nd R1-R3 interactions in Tau fibril maturation, and our mAbs show promise as early diagnostic markers for Tau-related neurodegeneration.",41643771,Conformation-specific monoclonal antibodies reveal early Tau structural intermediates in Alzheimer's disease.
"ABSTRACT: Aging is associated with enumerative and functional changes of peripheral innate immune cells, notably myeloid cells (ex., monocytes/macrophages and neutrophils). Peripheral myeloid cells routinely infiltrate the brain, particularly at the brain borders, influencing cognition, mood, and stress responses.",41642778,INTERPLAY BETWEEN PERIPHERAL AND CNS MYELOID CELLS DURING AGING: IMPACT FOR LATE-LIFE DEPRESSION AND ALZHEIMER'S DISEASE.
"ABSTRACT: Astrocytes, microglia, and oligodendrocytes, key neuroglial cell types, are essential for central nervous system (CNS) homeostasis, immune regulation, and neuronal support. In neurodegenerative diseases such as Alzheimer's disease (AD), Parkinson's disease (PD), Huntington's disease (HD), and amyotrophic lateral sclerosis (ALS), glial dysfunction contributes to pathogenesis via chronic inflammation, synaptic disruption, oxidative stress, and impaired myelination. Growing evidence highl",41642483,Neuroglial Function and Hormonal Modulation in Neurodegenerative Diseases: The Influence of Sex Hormones.
"nflammation, synaptic disruption, oxidative stress, and impaired myelination. Growing evidence highlights the regulatory influence of sex hormones on glial function. These hormones modulate inflammatory tone, synaptic remodeling, and remyelination, potentially contributing to sex-based differences in disease incidence, progression, and treatment response. This review synthesizes current understanding of glial involvement in neurodegeneration and examines how gonadal hormones interact with astroc",41642483,Neuroglial Function and Hormonal Modulation in Neurodegenerative Diseases: The Influence of Sex Hormones.
"ing of glial involvement in neurodegeneration and examines how gonadal hormones interact with astrocytes, microglia, and oligodendrocytes. By integrating glial biology with neuroendocrinology, we propose that hormone-glia interactions represent promising, personalized targets for sex-informed therapies in CNS disorders.",41642483,Neuroglial Function and Hormonal Modulation in Neurodegenerative Diseases: The Influence of Sex Hormones.
"ABSTRACT: Sigma-1 receptor (S1R) is a ""pluripotent chaperone"" associated with pro-survival functions. Pieces of evidence show it as a promising therapeutic target for treating neurodegeneration. Encouraging results previously obtained with phenoxyalkylpiperidines prompted us to build a second generation of molecules using 1-[2-(4-chlorophenoxy)ethyl]-4-methylpiperidine (1), the most potent antiamnesic S1R ligand in vivo, as the lead-compound. Structural changes in the basic moiety and aromatic s",41642203,Development of Second-Generation Phenoxyethylpiperidines as Potent Sigma-1 Receptor Agonists with Neuroprotective Potential for Alzheimer's Disease.
"esic S1R ligand in vivo, as the lead-compound. Structural changes in the basic moiety and aromatic substitution were introduced, and features impacting on the S1R affinity and selectivity were clarified, also through docking studies and molecular dynamics (MD). The most promising phenoxyalkylpiperidines advanced to a phenotypic screening in wfs1abKO zebrafish larvae to assess hyperlocomotion reduction. Seven hit compounds were selected for the BiP-S1R dissociation as a measure of their agonist a",41642203,Development of Second-Generation Phenoxyethylpiperidines as Potent Sigma-1 Receptor Agonists with Neuroprotective Potential for Alzheimer's Disease.
"tion. Seven hit compounds were selected for the BiP-S1R dissociation as a measure of their agonist activity, followed by the preclinical evaluation of their activity against Alzheimer's Disease (AD) in mice. These phenoxyethylpiperidines demonstrated to potently prevent AD-like amnesia without toxicity, appearing as promising agents for further preclinical studies against neurodegeneration.",41642203,Development of Second-Generation Phenoxyethylpiperidines as Potent Sigma-1 Receptor Agonists with Neuroprotective Potential for Alzheimer's Disease.
